Date,FAANG
2019-05-16,2630.50
2019-05-15,2619.16
2019-05-14,2577.74
2019-05-13,2553.01
2019-05-10,2670.57
2019-05-09,2690.52
2019-05-08,2708.24
2019-05-07,2722.89
2019-05-06,2795.67
2019-05-03,2831.42
2019-05-02,2779.26
2019-05-01,2762.91
2019-04-30,2757.91
2019-04-29,2789.91
2019-04-26,2767.77
2019-04-25,2785.27
2019-04-24,2796.34
2019-04-23,2826.40
2019-04-22,2748.18
2019-04-18,2734.94
2019-04-17,2730.95
2019-04-16,2727.63
2019-04-15,2701.05
2019-04-12,2721.88
2019-04-11,2724.91
2019-04-10,2744.97
2019-04-09,2743.87
2019-04-08,2748.67
2019-04-05,2739.95
2019-04-04,2716.03
2019-04-03,2723.92
2019-04-02,2698.95
2019-04-01,2681.83
2019-03-29,2635.67
2019-03-28,2615.95
2019-03-27,2604.93
2019-03-26,2621.82
2019-03-25,2612.00
2019-03-22,2618.54
2019-03-21,2684.12
2019-03-20,2648.00
2019-03-19,2604.72
2019-03-18,2592.61
2019-03-15,2598.82
2019-03-14,2593.28
2019-03-13,2607.61
2019-03-12,2580.14
2019-03-11,2575.67
2019-03-08,2499.85
2019-03-07,2501.86
2019-03-06,2552.86
2019-03-05,2559.39
2019-03-04,2544.21
2019-03-01,2537.72
2019-02-28,2538.35
2019-02-27,2544.20
2019-02-26,2540.87
2019-02-25,2553.56
2019-02-22,2534.69
2019-02-21,2501.63
2019-02-20,2528.17
2019-02-19,2531.96
2019-02-15,2512.41
2019-02-14,2521.20
2019-02-13,2519.54
2019-02-12,2516.74
2019-02-11,2477.72
2019-02-08,2481.70
2019-02-07,2490.82
2019-02-06,2568.62
2019-02-05,2584.94
2019-02-04,2545.99
2019-02-01,2502.32
2019-01-31,2519.88
2019-01-30,2451.66
2019-01-29,2355.00
2019-01-28,2405.21
2019-01-25,2456.46
2019-01-24,2399.16
2019-01-23,2365.05
2019-01-22,2382.96
2019-01-18,2466.27
2019-01-17,2483.92
2019-01-16,2468.16
2019-01-15,2464.72
2019-01-14,2399.35
2019-01-11,2427.49
2019-01-10,2422.55
2019-01-09,2401.88
2019-01-08,2373.28
2019-01-07,2346.26
2019-01-04,2281.67
2019-01-03,2153.72
2019-01-02,2238.07
2018-12-31,2227.94
2018-12-28,2222.70
2018-12-27,2207.48
2018-12-26,2217.91
2018-12-24,2070.79
2018-12-21,2122.67
2018-12-20,2204.61
2018-12-19,2282.72
2018-12-18,2352.68
2018-12-17,2341.33
2018-12-14,2429.28
2018-12-13,2479.38
2018-12-12,2470.06
2018-12-11,2431.44
2018-12-10,2427.97
2018-12-07,2398.67
2018-12-06,2464.35
2018-12-04,2448.49
2018-12-03,2545.55
2018-11-30,2476.21
2018-11-29,2440.16
2018-11-28,2468.16
2018-11-27,2398.39
2018-11-26,2403.45
2018-11-23,2317.24
2018-11-21,2351.76
2018-11-20,2339.87
2018-11-19,2376.56
2018-11-16,2482.83
2018-11-15,2529.29
2018-11-14,2489.23
2018-11-13,2486.99
2018-11-12,2457.16
2018-11-09,2562.35
2018-11-08,2608.40
2018-11-07,2654.10
2018-11-06,2578.73
2018-11-05,2562.24
2018-11-02,2597.25
2018-11-01,2646.69
2018-10-31,2580.55
2018-10-30,2491.02
2018-10-29,2445.05
2018-10-26,2526.87
2018-10-25,2570.34
2018-10-24,2430.15
2018-10-23,2568.54
2018-10-22,2556.91
2018-10-19,2529.94
2018-10-18,2554.49
2018-10-17,2632.35
2018-10-16,2633.98
2018-10-15,2541.75
2018-10-12,2576.49
2018-10-11,2491.00
2018-10-10,2501.97
2018-10-09,2650.45
2018-10-08,2633.92
2018-10-05,2664.82
2018-10-04,2720.89
2018-10-03,2801.82
2018-10-02,2791.91
2018-10-01,2829.08
2018-09-28,2781.12
2018-09-27,2833.15
2018-09-26,2806.91
2018-09-25,2789.70
2018-09-24,2769.03
2018-09-21,2751.22
2018-09-20,2788.44
2018-09-19,2770.33
2018-09-18,2732.97
2018-09-17,2725.18
2018-09-14,2786.56
2018-09-13,2791.43
2018-09-12,2765.63
2018-09-11,2764.37
2018-09-10,2735.30
2018-09-07,2730.53
2018-09-06,2746.97
2018-09-05,2793.07
2018-09-04,2872.31
2018-08-31,2902.86
2018-08-30,2906.22
2018-08-29,2907.79
2018-08-28,2888.47
2018-08-27,2903.68
2018-08-24,2857.23
2018-08-23,2814.29
2018-08-22,2827.83
2018-08-21,2805.22
2018-08-20,2771.29
2018-08-17,2756.33
2018-08-16,2791.34
2018-08-15,2792.61
2018-08-14,2838.58
2018-08-13,2839.63
2018-08-10,2839.28
2018-08-09,2848.43
2018-08-08,2864.10
2018-08-07,2879.58
2018-08-06,2849.71
2018-08-03,2828.07
2018-08-02,2830.69
