Date,Value,High
2016-01-05,1077.0,434.91
2016-01-06,1091.4,432.24
2016-01-07,1106.35,459.0
2016-01-08,1101.85,465.0
2016-01-09,,456.01
2016-01-10,,451.51
2016-01-11,1100.75,452.49
2016-01-12,1085.4,450.05
2016-01-13,1088.15,446.75
2016-01-14,1088.4,435.0
2016-01-15,1093.75,429.43
2016-01-16,,392.5
2016-01-17,,393.31
2016-01-18,1089.2,390.0
2016-01-19,1086.25,388.61
2016-01-20,1101.75,428.0
2016-01-21,1096.5,424.57
2016-01-22,1096.25,411.2
2016-01-23,,394.81
2016-01-24,,407.33
2016-01-25,1106.6,402.77
2016-01-26,1113.6,396.99
2016-01-27,1116.25,396.99
2016-01-28,1114.0,395.48
2016-01-29,1111.8,386.0
2016-01-30,,380.6
2016-01-31,,378.9
2016-02-01,1126.5,379.27
2016-02-02,1128.5,374.8
2016-02-03,1132.0,374.0
2016-02-04,1156.35,393.89
2016-02-05,1150.35,393.0
2016-02-06,,386.54
2016-02-07,,377.8
2016-02-08,1193.25,377.0
2016-02-09,1191.0,377.96
2016-02-10,1190.0,387.0
2016-02-11,1241.0,383.23
2016-02-12,1239.75,383.53
2016-02-13,,393.0
2016-02-14,,408.66
2016-02-15,1208.2,412.5
2016-02-16,1209.5,408.77
2016-02-17,1210.0,421.9
2016-02-18,1210.1,426.21
2016-02-19,1231.15,422.54
2016-02-20,,445.96
2016-02-21,,451.6
2016-02-22,1211.0,442.5
2016-02-23,1221.35,442.67
2016-02-24,1250.75,427.5
2016-02-25,1236.0,430.0
2016-02-26,1226.5,435.9
2016-02-27,,438.6
2016-02-28,,437.89
2016-02-29,1234.9,445.0
2016-03-01,1236.5,442.79
2016-03-02,1239.2,436.45
2016-03-03,1250.25,424.43
2016-03-04,1277.5,423.99
2016-03-05,,410.14
2016-03-06,,409.5
2016-03-07,1267.9,415.8
2016-03-08,1267.0,416.0
2016-03-09,1246.4,414.5
2016-03-10,1266.5,418.24
2016-03-11,1264.75,423.6
2016-03-12,,421.81
2016-03-13,,416.0
2016-03-14,1242.75,417.99
2016-03-15,1232.0,418.82
2016-03-16,1228.5,418.0
2016-03-17,1266.5,420.6
2016-03-18,1252.1,419.1
2016-03-19,,409.67
2016-03-20,,413.2
2016-03-21,1244.9,412.42
2016-03-22,1252.5,418.68
2016-03-23,1217.6,419.72
2016-03-24,1221.0,419.27
2016-03-25,1221.0,417.03
2016-03-26,,419.4
2016-03-27,,431.0
2016-03-28,1221.0,427.99
2016-03-29,1226.0,426.41
2016-03-30,1236.25,416.21
2016-03-31,1237.0,418.25
2016-04-01,1213.6,417.6
2016-04-02,,422.8
2016-04-03,,421.82
2016-04-04,1219.75,421.2
2016-04-05,1231.25,425.0
2016-04-06,1221.4,424.68
